longitude,latitude,number,street,city,zip,hashCode
-93.3791414,45.0044236,'2370','Winnetka Avenue North','Golden Valley','55427','f225501ff07a8aa3'
-93.2762655,44.9530727,'2717','1st Avenue South','Minneapolis','55408','cd21bb5d3fd15c22'
-93.2834875,44.9300642,'4008','Pleasant Avenue South','Minneapolis','55409','cede836c09617625'
-93.3486747,44.9536277,'2738','Utica Avenue South','Saint Louis Park','55416','f700fe8ffbc2479f'
-93.3174533,44.8294367,'9621','Xerxes Circle','Bloomington','55431','dff0f111825f2241'
-93.2502777,44.9385344,'3532','17th Avenue South','Minneapolis','55407','4cd26dec90ea430a'
-93.4119036,45.0372262,'10400','45th Avenue North','Plymouth','55442','57017ba23e185f9c'
-93.2584209,44.989583,'221','1st Avenue Northeast','Minneapolis','55413','a42882094a1f94d9'
-93.226066,44.9219499,'4442','32nd Avenue South','Minneapolis','55406','37e3061656544a60'
-93.3480482,45.1283668,'9507','Scott Circle North','Brooklyn Park','55443','241f7726f4451b94'
-93.3022977,44.9949417,'1523','Knox Avenue North','Minneapolis','55411','dbbe90f1203c6768'
-93.2897659,44.8200865,'725','Northglen Drive','Bloomington','55420','ea61f3813adf6e2c'
-93.4406365,45.121815,'12597','92nd Avenue North','Maple Grove','55369','2bf39ec1b78088d6'
-93.462828,44.9041043,'5440','Dickson Road','Minnetonka','55345','5134b1b2984a2f5d'
-93.419606,45.0515321,'5320','Yorktown Lane North','Plymouth','55442','23b51beb9c4baabf'
-93.4227936,45.0433334,'11286','49th Avenue North','Plymouth','55442','5a90993c71f96d43'
-93.2805209,44.9495074,'2930','Blaisdell Avenue','Minneapolis','55408','978bea0a24035a07'
-93.3937683,44.8124355,'10540','Aquila Avenue South','Bloomington','55438','78f432d4d0b01bd5'
-93.4965104,44.9242933,'17071','Chiltern Hills Road','Minnetonka','55345','b744c35511700ab3'
-93.4916482,45.1157032,'8867','Comstock Court North','Maple Grove','55311','464e8de56715d729'
-93.3840397,45.0211662,'3520','Wisconsin Avenue North','New Hope','55427','6c2879b08727cc65'
-93.4230592,45.1633318,'11303','Goose Lake Parkway','Dayton','55369','84dac8f149f72f4d'
-93.2393028,45.0270162,'3241','Buchanan Street Northeast','Minneapolis','55418','5cf7c17c906ae7b8'
-93.2971964,45.0083705,'2719','Girard Avenue North','Minneapolis','55411','2aaa43aaa5dd497e'
-93.357721,44.834804,'9323','Nesbitt Road','Bloomington','55437','3c5b1cbca1214112'
-93.3978017,44.8681035,'7409','Washington Avenue South','Edina','55439','5fd35201490f0231'
-93.2489584,44.9324416,'3848','18th Avenue South','Minneapolis','55407','658f22a2f657563f'
-93.2469918,44.8418754,'8935','Old Cedar Avenue South','Bloomington','55425','3f479003c9d2a634'
-93.2589376,44.9879469,'20','2nd Street Northeast','Minneapolis','55413','ff23772c1943cca6'
-93.2661949,44.9736847,'433','7th Street South','Minneapolis','55415','84e76aa71926622b'
-93.2805785,44.9505231,'117','29th Street West','Minneapolis','55408','67bbb1b608a7d231'
-93.3122274,44.8041738,'11010','Russell Avenue South','Bloomington','55431','a0d70162cff9e2e7'
-93.2109792,44.9114685,'5033','43rd Avenue South','Minneapolis','55417','1f8ed75977063514'
-93.3661225,44.9524578,'2820','Hampshire Avenue South','Saint Louis Park','55426','6c9097ba55fdba3c'
-93.4153751,44.9094136,'1162','Trailwood North','Hopkins','55343','7d280d4b44a73fd7'
-93.6342683,44.9280802,'4387','Wilshire Boulevard','Mound','55364','b05107b55c5d83a5'
-93.6151925,44.8920692,'6170','Strawberry Lane','Shorewood','55331','5c71d4831c8462b6'
-93.4871573,45.0502238,'16310','53rd Avenue North','Plymouth','55446','8df1fcfd77a712a7'
-93.5280229,44.9106447,'19555','Excelsior Boulevard','Deephaven','55331','2690d6a119ff0bc8'
-93.2244197,44.8558673,'8165','33rd Avenue South','Bloomington','55425','9c0df3f1c7bd1b7d'
-93.3171871,44.9491874,'2950','Dean Parkway','Minneapolis','55416','404ab436004731fb'
-93.2515536,44.9899091,'608','Central Avenue Northeast','Minneapolis','55414','168b4d9096a944c8'
-93.2405808,45.0230385,'3027','Pierce Street Northeast','Minneapolis','55418','811e1d75a3ccbccd'
-93.3209236,45.1213917,'9129','Windsor Terrace North','Brooklyn Park','55443','80d7be2a4af93d54'
-93.6666674,44.940175,'2117','Commerce Boulevard','Mound','55364','92e08600fe0b0335'
-93.291009,44.9476922,'3016','Bryant Avenue South','Minneapolis','55408','8da67dbed451d4e8'
-93.2368148,44.927931,'4123','24th Avenue South','Minneapolis','55406','56082ec549d6156a'
-93.4227214,45.0889357,'76','Address Unassigned','Maple Grove','55369','f1203184d50f0ae7'
-93.4018249,44.9324966,'421','Althea Lane','Hopkins','55343','95da2e1c15e978db'
-93.3245531,44.8658246,'7540','Edinborough Way','Edina','55435','9474fe2ff11077d0'
-93.6735688,45.0675934,'6384','Lake Sarah Lane','Greenfield','55373','becfab715018577d'
-93.3175484,44.9958087,'1619','Washburn Avenue North','Minneapolis','55411','9b98b2c824920f21'
-93.2286716,44.9238414,'4340','Nokomis Avenue South','Minneapolis','55406','e664aa00fedda9ba'
-93.3066898,44.9732678,'425','Oliver Avenue South','Minneapolis','55405','791d9fb86c22471e'
-93.2961327,45.0345744,'4343','Fremont Avenue North','Minneapolis','55412','e347e6ae4d9ad377'
-93.2671265,44.9321045,'3905','Portland Avenue South','Minneapolis','55407','b095792ef2a233c6'
-93.3644513,45.1441864,'6600','104th Circle North','Brooklyn Park','55445','2baa5b199933eb8b'
-93.6661431,44.9543633,'1360','Langewood Drive','Minnetrista','55364','83437ae4de86805f'
-93.2968001,45.0569158,'5615','Fremont Avenue North','Brooklyn Center','55430','975f79b005983f74'
-93.4565844,44.9091414,'13901','Excelsior Boulevard','Minnetonka','55345','73a5dba64b266275'
-93.3153907,45.0925865,'2644','Brookdale Lane North','Brooklyn Park','55444','6b47cd3c157f189f'
-93.2944511,44.850865,'8419','Emerson Avenue South','Bloomington','55420','d7203f51e54c83c5'
-93.3417919,45.0073593,'2695','Perry Avenue North','Golden Valley','55422','8385cc3ba732a910'
-93.2867273,44.8753607,'7025','Garfield Avenue South','Richfield','55423','4a90e2cee0541971'
-93.3150537,44.9255804,'4236','Upton Avenue South','Minneapolis','55410','679a321112c8fb10'
-93.4343028,44.9314421,'34','Address Unassigned','Minnetonka','55305','c141bc827f42d5e9'
-93.2617306,44.9093389,'5156','Elliot Avenue','Minneapolis','55417','77deb382b58997be'
-93.2546488,44.9432578,'3251','14th Avenue South','Minneapolis','55407','83f4b783b4256a54'
-93.2959564,45.021381,'3635','Fremont Avenue North','Minneapolis','55412','7367dd7d7b5db015'
-93.4316052,45.0822469,'11903','70th Place North','Maple Grove','55369','629af40aee748c66'
-93.3299157,45.0837358,'7049','Ewing Avenue North','Brooklyn Center','55429','990e0b4d1998e27f'
-93.2457328,44.9418273,'3329','Longfellow Avenue','Minneapolis','55407','9932687e3ff37846'
-93.3787451,44.9488991,'3014','Rhode Island Avenue South','Saint Louis Park','55426','b78c43f253b17a6d'
-93.3171871,44.9491874,'2950','Dean Parkway','Minneapolis','55416','404ab436004731fb'
-93.3424587,44.9605165,'2309','Parkwoods Road','Saint Louis Park','55416','7324465dc6365e83'
-93.3723206,44.8121944,'10557','Kentucky Avenue South','Bloomington','55438','a96cef5d57fb5aa3'
-93.3394079,45.0850949,'7118','Major Avenue North','Brooklyn Center','55429','210f5e4d645274e3'
-93.5343193,45.1721185,'92','Address Pending','Rogers','55311','964eeff5c26b7507'
-93.4582722,45.0773501,'14069','68th Place North','Maple Grove','55311','b6cef0fb11092062'
-93.3732947,45.0287182,'3925','Nevada Avenue North','New Hope','55427','657f0ebbc0015468'
-93.4075926,45.0545111,'5504','Nathan Lane North','Plymouth','55442','ef47d67cfee58b72'
-93.3527984,44.8777412,'5109','Tifton Drive','Edina','55439','34aea7513d852772'
-93.3375682,44.85589,'4575','80th Street Circle West','Bloomington','55437','68b75c0ba84902ed'
-93.417823,44.8523056,'11203','Kinsley Street','Eden Prairie','55344','0bf87b59e314cd21'
-93.4170798,44.9237951,'1320','Mainstreet','Hopkins','55343','5f3b5392c026b447'
-93.3246414,44.8180564,'3500','103rd Street West','Bloomington','55431','ec303d606d145206'
-93.2118659,44.8966747,'5848','43rd Avenue South','Minneapolis','55417','70bca4ef85205c8f'
-93.4133347,44.9643945,'10600','Runnymeade Lane','Minnetonka','55305','79936416e883986e'
-93.3485242,45.0363067,'4449','Unity Avenue North','Robbinsdale','55422','ce8fdf9dcea3d244'
-93.6053139,44.9776269,'75','Leaf Street','Orono','55356','70a8500c3a30938a'
-93.3151384,44.9693906,'1007','Cedar Lake Road South','Minneapolis','55405','be02e31645a414f8'
-93.2863949,44.9346387,'3737','Garfield Avenue','Minneapolis','55409','8f6dd2cb562e000d'
-93.4165839,44.9110677,'1256','Landmark Trail South','Hopkins','55343','81113c99455cc9bc'
-93.50178,45.1012596,'8047','Kimberly Lane North','Maple Grove','55311','987448a44b21c6df'
-93.334585,45.1491024,'10709','Sunset Terrace North','Brooklyn Park','55443','8d439807d6c7b796'
-93.4048657,45.1202062,'332','2nd Avenue Northwest','Osseo','55369','dc4a4ff47fe01590'
-93.433945,44.9501445,'12201','Westridge Lane','Minnetonka','55305','e9821ba4d3b41171'
-93.3405295,45.0826465,'7021','Brooklyn Boulevard','Brooklyn Center','55429','fb3b0a7b71609a8d'
-93.6580671,45.0294379,'2810','Lindgren Lane','Independence','55359','682c73893ae40da0'
-93.4386067,45.066281,'6222','Quinwood Lane North','Maple Grove','55369','ed4887b8c430584e'
-93.339712,44.9476654,'3025','Ottawa Avenue South','Saint Louis Park','55416','979cbb2e79462a42'
-93.2638187,44.8826788,'6621','Columbus Avenue South','Richfield','55423','558ee99b9e45317c'
-93.3155009,45.1170361,'8919','Telford Crossing North','Brooklyn Park','55443','0149d82daf54952a'
-93.2605062,44.9970078,'400','8th Avenue Northeast','Minneapolis','55413','e5afb97b586646e7'
-93.2939511,45.0093976,'2824','Emerson Avenue North','Minneapolis','55411','79862768bbbe47fc'
-93.3485498,44.8931512,'4829','Valley View Road','Edina','55424','757f2c70c6bce19c'
-93.2716796,44.9876967,'408','1st Street North','Minneapolis','55401','5a21c3268e3fb450'
-93.2398662,44.9607058,'2201','Milwaukee Avenue','Minneapolis','55404','b271792d2e8e4d9c'
-93.3344835,45.0697061,'6306','June Avenue North','Brooklyn Center','55429','c2b7ad3861eeff87'
-93.254613,44.8569109,'8156','Bloomington Avenue South','Bloomington','55425','93c2192bdb967357'
-93.2310854,45.0159207,'2630','Cleveland Street Northeast','Minneapolis','55418','fc9dc46c0464a740'
-93.4538709,45.0846961,'7150','Maplewood Drive North','Maple Grove','55311','19fe76e599010615'
-93.4382604,44.9785022,'12601','Ridgemount Avenue West','Minnetonka','55305','624e7d79e5c6b3aa'
-93.3935734,44.8884569,'6305','McIntyre Point','Edina','55439','c27644e529bce9ce'
-93.2683581,44.8979132,'5760','Portland Avenue South','Minneapolis','55417','d8bfdc4f677a6363'
-93.3860592,44.9286382,'210','Blake Road North','Hopkins','55343','0469a7d8cc5ef888'
-93.542308,45.2017329,'13629','Autumn Way','Rogers','55374','4f1cbfe7507da379'
-93.3078445,44.9970592,'1722','Penn Avenue North','Minneapolis','55411','f51e635b07140a0f'
-93.2644501,44.8929651,'6036','Columbus Avenue','Minneapolis','55417','eda26a09f3fb9fca'
-93.3395116,44.9987274,'1836','Spring Valley Circle','Golden Valley','55422','433c75e78ba4afbc'
-93.213488,45.0244312,'3309','31st Avenue Northeast','Saint Anthony','55418','f7973e968d79f304'
-93.4023692,45.1623518,'9534','Parkside Trail North','Champlin','55316','7eb827618a1a2f69'
-93.289205,44.9255928,'4237','Aldrich Avenue South','Minneapolis','55409','fe9bf69a6d0b9bd7'
-93.2318091,44.9838536,'727','15th Avenue Southeast','Minneapolis','55414','484fb182af4ca241'
-93.3394442,44.9492384,'2930','Natchez Avenue South','Saint Louis Park','55416','6a6f625acb40e1d8'
-93.350847,44.9310409,'3936','Webster Avenue South','Saint Louis Park','55416','c817bba660d2ed2c'
-93.3209384,44.8506784,'8433','York Road','Bloomington','55431','f6f82658eb4ce950'
-93.307361,45.0193418,'3523','Oliver Avenue North','Minneapolis','55412','c34b9bad2ea5dbcf'
-93.3153373,44.9236739,'2800','44th Street West','Minneapolis','55410','a2d6a3183a06083d'
-93.3203527,44.9446317,'3200','Calhoun Parkway West','Minneapolis','55416','3afd6d726fbbd583'
-93.3790306,44.8032703,'11009','Quebec Circle','Bloomington','55438','a8a4ff9455c80c10'
-93.3562309,44.9403461,'3470','Alabama Avenue South','Saint Louis Park','55416','d7cf350665f305f4'
-93.3342664,44.9437938,'4301','Park Glen Road','Saint Louis Park','55416','74564a6fb7c60df2'
-93.4735705,45.0270516,'15221','39th Avenue North','Plymouth','55446','b27bfa14dedf3b59'
-93.252858,44.9762503,'200','11th Avenue South','Minneapolis','55415','04b6c3dd4dbeb6bf'
-93.4889358,44.9725147,'155','Gleahaven Road','Wayzata','55391','d5069c5c36e1b99b'
-93.2846842,44.9409428,'3408','Grand Avenue South','Minneapolis','55408','75d1d9d3eac9f512'
-93.7260736,44.9139675,'7950','Halstead Drive','Minnetrista','55364','2d4a2354f066be88'
-93.3173313,44.8575436,'8030','Vincent Avenue South','Bloomington','55431','0297e41957fdfc3e'
-93.4771643,45.1255708,'9453','Ranchview Lane North','Maple Grove','55369','5e971e8586810cf1'
-93.3340848,45.0707742,'6337','Indiana Avenue North','Brooklyn Center','55429','91d0ebbec9a52e80'
-93.4240211,44.831781,'9497','Painters Ridge','Eden Prairie','55347','88a6791ae59fa856'
-93.3040676,45.0085178,'2722','Morgan Avenue North','Minneapolis','55411','85b3aaf9fe4af514'
-93.4772003,45.0849219,'15501','71st Place North','Maple Grove','55311','5e9561603781b67c'
-93.3486962,44.9771231,'9','Turnpike Road','Golden Valley','55416','03a29bd9cdb924ef'
-93.3571409,44.9502488,'2936','Blackstone Avenue South','Saint Louis Park','55416','aa548f4666691008'
-93.4047021,45.0676475,'6237','Magda Drive North','Maple Grove','55369','5bdc0e85c3506a63'
-93.3529737,44.9471279,'5720','Lake Street West','Saint Louis Park','55416','97475f28f8a40c2b'
-93.7314108,44.9809289,'150','County Road 92  North','Independence','55359','682e0219d09d219c'
-93.2726659,44.880477,'6731','3rd Avenue South','Richfield','55423','05f2712222cdff04'
-93.6274357,44.9510665,'38','Address Unassigned','Orono','55364','afc126e5e1e4c091'
-93.230833,44.9612394,'2810','22nd Street East','Minneapolis','55406','aaa5d5fcd14e78f9'
-93.3133807,44.9139579,'2619','49th Street West','Minneapolis','55410','53baa4bf17c19a9f'
-93.5032125,44.8523945,'17868','Cobblestone Way','Eden Prairie','55347','afbf7bc2c5aa27f2'
-93.3073894,45.0993882,'2008','Yellowstone Trail North','Brooklyn Park','55444','4efe251c79c22243'
-93.3617289,45.0108179,'2949','Edgewood Avenue North','Crystal','55427','a34543d5cdf5e629'
-93.5352843,44.9017104,'5630','Covington Road','Shorewood','55331','e0f7212ae6ae6518'
-93.2418595,45.0267383,'3231','Fillmore Street Northeast','Minneapolis','55418','01be9b75a22027fa'
-93.445033,45.0329193,'4255','Rosewood Lane North','Plymouth','55442','958fda01f0e03df1'
-93.4940332,45.012201,'16920','28th Avenue North','Plymouth','55447','b2365f53cb877562'
-93.3026347,45.0909742,'1608','Meadowwood Drive North','Brooklyn Park','55444','d72d852ba595813d'
-93.2138709,44.961206,'1908','River Terrace East','Minneapolis','55414','ab430435057df1eb'
-93.4004778,44.8492648,'8515','Timber Trail','Eden Prairie','55344','d04a75379f541ff8'
-93.3074593,44.810714,'10631','Penn Avenue South','Bloomington','55431','b1ec6db38faba180'
-93.328324,44.8268124,'3801','98th Street West','Bloomington','55431','fdb11b26cf4a13b7'
-93.2606589,44.9647892,'1811','Elliot Avenue','Minneapolis','55404','0c6b2b72e5df94e9'
-93.3330575,44.9128242,'4200','50th Street West','Edina','55424','860d38a6a4a2510d'
-93.4502208,45.1115197,'8624','Wedgewood Lane North','Maple Grove','55369','ac48adef8b272c31'
-93.5921573,44.9899651,'2745','Kelley Parkway','Orono','55356','21df85c824d77fe4'
-93.297438,44.9415881,'3344','Girard Avenue South','Minneapolis','55408','47e51784123cb00e'
-93.2952471,44.9449524,'1214','32nd Street West','Minneapolis','55408','2ebb2a22f064a355'
-93.3757665,44.8961577,'5916','Olinger Boulevard','Edina','55436','7f1f51dfcf75eac2'
-93.5309172,44.9954353,'38','Address Unassigned','Orono','55391','a0b1bdd304f30c82'
-93.3212839,44.9490404,'3274','Lake Street West','Minneapolis','55416','bb4b8ac373244c73'
-93.2394768,45.015245,'1401','26th Avenue Northeast','Minneapolis','55418','7386aaf3ed4bb47e'
-93.2922408,44.9976052,'1800','Dupont Avenue North','Minneapolis','55411','af17c5e2b496b652'
-93.2070638,44.9092058,'5140','Hiawatha Avenue','Minneapolis','55417','7a9aa1bf94580efa'
-93.4058243,44.9759446,'450','Ford Road','Saint Louis Park','55426','4710270ecaf373fb'
-93.4380107,44.9734658,'12400','Marion Lane West','Minnetonka','55305','10149c2a04017ba3'
-93.3506799,44.9383095,'5650','36th Street West','Saint Louis Park','55416','be1223503f000d6d'
-93.3955267,44.9582789,'9109','24th Street West','Saint Louis Park','55426','772cb01cc2368f44'
-93.5109919,45.0381476,'18205','46th Avenue North','Plymouth','55446','79c679700f1a400c'
-93.4809277,44.9762967,'325','Townes Road','Minnetonka','55391','705bcc57a0b742e8'
-93.3552441,45.1610092,'5800','114th Avenue North','Champlin','55316','594eed5abbe4c352'
-93.2663716,44.8751293,'7037','Oakland Avenue South','Richfield','55423','ddedeb51b7825119'
-93.5166116,45.128584,'9569','Winslow Chase North','Maple Grove','55311','60cf28db21ae6e4f'
-93.6641132,44.9306989,'5501','Bartlett Boulevard','Mound','55364','e8ba8e2130916174'
-93.3955084,44.9312333,'401','Monroe Place','Hopkins','55343','2353e5bb10260f3e'
-93.6591337,44.9204149,'5338','Piper Road','Mound','55364','fe9342c5bbb97d38'
-93.6470749,44.925536,'4866','Monmouth Road','Mound','55364','df2fc12c7496de41'
-93.383741,44.8563901,'8033','Telegraph Road','Bloomington','55438','022315153483a324'
-93.3944023,45.0149064,'3205','Ensign Avenue North','New Hope','55427','1f63cec02e1e5301'
-93.4285347,44.894891,'5978','Chasewood Parkway','Minnetonka','55343','0103a1d46c3b793b'
-93.2745928,44.9552755,'131','26th Street East','Minneapolis','55404','a62f2cc7c9a9fa9a'
-93.3872054,44.822356,'7830','100th Street West','Bloomington','55438','7eb71f8986a26102'
-93.3963829,45.1793252,'12400','Gettysburg Avenue North','Champlin','55316','46418a0ae1214f41'
-93.3251723,45.0139143,'3217','Chowen Avenue North','Robbinsdale','55422','002631737c2c37eb'
-93.2724108,44.852713,'8312','Clinton Avenue South','Bloomington','55420','37d289f2e78bdbbd'
-93.6231566,45.1448252,'10480','Heather Lane','Corcoran','55374','454e00b69743dc94'
-93.4056906,45.1455863,'10531','Nathan Lane North','Maple Grove','55369','c60085cfbf7faef5'
-93.3184649,44.8996613,'3021','57th Street West','Minneapolis','55410','6e3435d1389395ae'
-93.4731695,45.0652495,'6177','Niagara Lane North','Plymouth','55446','a6bd4d2c96a62405'
-93.3143292,45.0237262,'3750','Upton Avenue North','Minneapolis','55412','be63bc3d3bcd37ae'
-93.2860384,45.0109868,'422','30th Avenue North','Minneapolis','55411','0ae649801f009864'
-93.394009,45.0136924,'3132','Ensign Avenue North','New Hope','55427','f2d056c8bae3a322'
-93.512161,44.8680774,'18564','Kristie Lane','Eden Prairie','55346','075294a01cb84360'
-93.2847178,44.9338357,'3804','Grand Avenue South','Minneapolis','55409','506834103ff29748'
-93.3560915,44.9072746,'5275','Grandview Square','Edina','55436','3a1950e8162f582f'
-93.555059,44.9771147,'1275','Lyman Avenue','Orono','55391','21a0b421cae20943'
-93.2221929,44.9876208,'2112','Como Avenue Southeast','Minneapolis','55414','585e6def448b72f5'
-93.5812667,44.9018554,'23780','Smithtown Road','Shorewood','55331','97cf0e9db9019835'
-93.2085578,44.9209095,'4521','45th Avenue South','Minneapolis','55406','62630461c2954806'
-93.3111054,45.0979651,'7872','Penn Avenue North','Brooklyn Park','55444','f565c1e9c529d4d4'
-93.4085609,45.0406406,'4740','Pilgrim Lane North','Plymouth','55442','710f44988fc30920'
-93.3916891,44.8936581,'6017','Walnut Drive','Edina','55436','7f934c1d5313b4ef'
-93.4708257,45.0423169,'40','Address Unassigned','Plymouth','55446','b2d0cabff9ba541e'
-93.3206376,45.0069677,'2626','Zenith Avenue North','Robbinsdale','55422','ea302069915267bc'
-93.2676039,44.8766769,'6939','Portland Avenue South','Richfield','55423','75a4c6b4e1978d5a'
-93.314258,45.019786,'3538','Upton Avenue North','Minneapolis','55412','0a871b9235655456'
-93.2950156,44.9006498,'5620','Emerson Avenue South','Minneapolis','55419','1af0cb5436caa6f1'
-93.5952184,44.9907809,'685','Old Crystal Bay Road North','Orono','55356','d3c7ef2eeb540047'
-93.3566424,45.0893877,'7363','Zane Avenue North','Brooklyn Park','55443','8146a6ec2c0edc40'
-93.3510248,44.9725612,'901','Xenia Avenue South','Golden Valley','55416','760de543ceed2297'
-93.3211891,44.8543249,'8216','York Avenue South','Bloomington','55431','cec73e60152302ba'
-93.3819813,45.1590722,'7914','113th Avenue North','Champlin','55316','9ae9f56592824c88'
-93.4930748,44.9411056,'3413','Druid Lane','Minnetonka','55345','3abd5fd5fb6ef23f'
-93.2658427,44.876899,'6932','Park Avenue South','Richfield','55423','6e3ac2d2e43671e2'
-93.2332544,44.9015555,'5601','27th Avenue South','Minneapolis','55417','93dceab0f0f63f2c'
-93.3264718,44.9647745,'3715','Cedar Lake Road South','Minneapolis','55416','1fb6b8919b280737'
-93.4051411,45.180287,'507','Pebble Road North','Champlin','55316','d85b50f588c4fa35'
-93.4277682,44.9737542,'11484','Fairfield Road','Minnetonka','55305','a3a6b36848f20823'
-93.2956385,44.958127,'2426','Hennepin Avenue','Minneapolis','55405','96e891e3586049f6'
-93.4161164,45.1565426,'50','Address Unassigned','Champlin','55316','ccafff28f2431d15'
-93.2637169,44.8193021,'10136','Chicago Avenue South','Bloomington','55420','c78a7671a2573b1d'
-93.2818151,44.8524765,'8325','Pillsbury Avenue South','Bloomington','55420','e1ffbe9893b022bf'
-93.4244372,45.1056705,'8298','Balsam Lane North','Maple Grove','55369','42f81cc28238e6dd'
-93.7043689,44.9143576,'36','Address Unassigned','Minnetrista','55364','150a8f5212f3108d'
-93.2334476,44.96047,'2212','27th Avenue South','Minneapolis','55406','51d718c9aa545e87'
-93.2275067,44.9123788,'3045','50th Street East','Minneapolis','55417','e213688d88397395'
-93.2525844,44.8651908,'7605','Bloomington Avenue South','Richfield','55423','c01d37423406e97e'
-93.2873461,44.9146933,'4832','Garfield Avenue','Minneapolis','55419','5a2165e3f484c0ed'
-93.4195345,44.9412645,'3426','Oakton Drive','Minnetonka','55305','688cfad455b4737e'
-93.3430095,44.9337999,'4820','Park Commons Drive','Saint Louis Park','55416','43707a5c0e65605d'
-93.3315311,45.0656178,'4000','61st Avenue North','Brooklyn Center','55429','10efad8fd18b58d3'
-93.2875209,45.0526766,'5345','4th Street North','Brooklyn Center','55430','31f1a3776e5a4165'
-93.468641,44.8207079,'10027','Iris Lane','Eden Prairie','55347','197a5001c4a61da1'
-93.2174997,44.9255473,'4251','Minnehaha Avenue','Minneapolis','55406','89bc2ed873eca3be'
-93.358031,44.8866686,'6412','Warren Avenue','Edina','55439','01fbf72a0eb0e382'
